,,PENGELUARAN 2026,,,,,
,,,,,,
,1,Bulan,Januari 2026,Jml Warga Yg Bayar,,
,,Total Iuran,9.270.000,206,"84,36%",
,,,,,,
,,,,,Sisa,,
,,,Kas,2.060.000,-1.066.450,
,,,Keamanan,3.090.000,155.000,
,,,Sampah,4.120.000,1.657.000,
,,,Total Iuran,9.270.000,,
,,,,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,sweater+celana security 2 pasang,"Selasa, 30/12/25",150.000,Keamanan
,,2,Pasang lampu 1 set & 2 Bohlam,"Sabtu, 3/1/26",1.700.000,Kas
,,3,Baja ringan 3 batang + Baut dll (Pos),"Selasa, 6/1/26",320.000,Kas
,,4,Token  PJU,"Rabu, 7/1/26",203.450,Kas
,,5,Alat kebersihan pos & lampu,"Rabu, 7/1/26",150.000,Kas
,,6,Kopi gula roko security ,"Selasa, 13/1/26",30.000,Keamanan
,,7,Pilok 2 pcs,"Rabu, 14/1/26",52.000,Kas
,,8,Terpal,"Jumat, 16/1/26",750.000,Keamanan
,,9,Konsumsi Musyawarah ,"Jumat, 16/1/26",525.000,Kas
,,10,Token  PJU,"Senin, 19/1/26",203.000,Kas
,,11,Kopi rokok security ,"Selasa, 20/1/26",25.000,Kas
,,12,Dispenser & Saklar,"Jumat, 23/1/26",205.000,Keamanan
,,13,Bayar Keamanan,"Minggu, 31//1/26",1.800.000,Keamanan
,,14,Token  PJU,"Kamis, 29/1/26",203.000,Sampah
,,15,Sampah,"Kamis, 5/2/26",2.260.000,Sampah
,,,Total Pengeluaran,,8.576.450,
,,,Total Sisa Iuran,,693.550,
,,,,,,
,2,Bulan,Februari 2026,Jml Warga Yg Bayar,,
,,Total Iuran,9.310.000,207,"85,50%",
,,,,,,
,,,,,Sisa,,
,,,Kas Feb + sisa Jan,2.762.439,-121.206,
,,,Keamanan,3.103.333,939.033,
,,,Sampah,4.137.778,1.672.778,
,,,,10.003.550,,
,,,,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,Token  PJU,"Sabtu, 7/2/26",203.400,Kas
,,2,Kordinasi ,"Senin, 9/2/26",400.000,Kas
,,3,plastik sampah 60x100 26pcs,"Senin, 9/2/26",25.000,Keamanan
,,4,kopi rokok security,"Rabu, 11/2/26",109.000,Keamanan
,,5,Pasang PJU baru blok A,"Minggu, 15/2/26",908.745,Kas
,,6,Token PJU,"Senin, 16/2/26",203.500,Kas
,,7,Senter Scurity,"Minggu, 22/2/26",170.300,Keamanan
,,8,Aqua Galon Baru,"Minggu, 22/2/26",60.000,Keamanan
,,9,Token  PJU,"Selasa, 24/2/26",203.000,Kas
,,10,Admin Bank,"Sabtu, 28/2/26",15.000,Kas
,,11,Bayar Keamanan,"Sabtu, 28/2/26",1.800.000,Keamanan
,,12,Pembayaran Sampah,"Senin, 09/03/26",2.465.000,Sampah
,,13,Pemeliharaan,"Selasa, 10/03/26",950.000,Kas
,,,Total Pengeluaran,,7.512.945,
,,,Sisa Iuran Total,,2.490.605,
,,,,,,
,3,Bulan,Maret 2026,Jml Warga Yg Bayar,,
,,Total Iuran,9.125.000,203,"82,51%",
,,,,,,
,,,,,Sisa,,
,,,Kas Mar + sisa Feb,4.518.383,-2.267.617,
,,,Keamanan,3.041.667,176.667,
,,,Sampah,4.055.556,1.435.556,
,,,Fee Wifi,1.366.000,1.366.000,
,,,,12.981.605,,
,,,,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,Kordinasi ,"Senin, 9/2/26",400.000,Kas
,,2,Pemasangan Lampu PJU,"Rabu, 4/3/26",500.000,Kas
,,3,Token  PJU,"Kamis, 5/3/26",503.000,Kas
,,4,Pemasangan Lampu PJU Blok D4,"Minggu, 8/3/26",200.000,Kas
,,5,THR Scurity ,"Jum'at, 13/3/26",1.050.000,Keamanan
,,6,Pemasangan Lampu PJU Blok B1-16,"Rabu, 18/3/26",500.000,Kas
,,7,THR Tukang sampah,"Kamis, 19/3/26",600.000,Kas
,,8,Pembelian MCB PJU,"Jum'at, 20/3/26",100.000,Kas
,,9,Pemasangan Lampu PJU lanjutan,"Senin, 23/3/26",1.800.000,Kas
,,10,Pemeliharaan Fasum,"Rabu, 25/3/26",100.000,Kas
,,11,Pemeliharaan Fasum lanjutan,"Jum'at, 27/3/26",100.000,Kas
,,12,Maintenance Fasum PGC ALL,"Sabtu, 28/3/26",1.000.000,Kas
,,13,Pembelian Cat Untuk Maintenace,"Senin, 30/3/26",580.000,Kas
,,14,Gaji Scurity,"Rabu, 1/4/26",1.800.000,Keamanan
,,15,Pembayaran Sampah,"Rabu, 1/4/26",2.620.000,Sampah
,,16,Admin Bank,"Rabu, 1/4/26",15.000,Keamanan
,,,Total Pengeluaran,,11.868.000,
,,,Sisa Iuran Total,,1.113.605,
,,,,,,
,4,Bulan,April 2026,Jml Warga Yg Bayar,,
,,Total Iuran,9.190.000,204,"85,45%",
,,,,,,
,,,,,Sisa,,
,,,Kas Apr + sisa Mar,3.155.827,-1.314.173,
,,,Keamanan,3.063.333,2.680.103,
,,,Sampah,4.084.444,1.464.444,
,,,Fee Wifi,615.000,615.000,
,,,,10.918.605,,
,,,,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,Kordinasi ,"Rabu, 1/4/26",500.000,Kas
,,2,Pembelian Cat untuk Kastin,"Jum'at, 3/4/26",580.000,Kas
,,3,Seragam Scurity ,"Jum'at, 3/4/26",232.230,Keamanan
,,4,Progres PJU,"Jum'at, 3/4/26",650.000,Kas
,,5,Jasa Survey Tanaman ,"Rabu, 8/4/26",100.000,Kas
,,6,Uang Bensin Kebersihan,"Rabu, 8/4/26",175.000,Kas
,,7,Jasa Potong Rumput Fasum,"Senin, 13/4/26",1.150.000,Kas
,,8,Pemeliharaan,"Kamis, 16/4/26",1.000.000,Kas
,,9,Lampu PJU C1,"Sabtu, 18/4/26",100.000,Kas
,,10,Jasa babat pohon Bambu,"Senin, 20/4/26",200.000,Kas
,,11,air isi ulang & kopi scurity,"Rabu, 22/4/26",50.000,Keamanan
,,12,Admin Bank,"Rabu, 22/4/26",15.000,Kas
,,13,FC  MOU Scurity berkas & materai ,"Kamis, 30/4/26",101.000,Keamanan
,,14,Pembayaran Sampah April,"Kamis, 30/4/26",2.620.000,Sampah
,,,Total Pengeluaran,,7.473.230,
,,,Sisa Iuran Total,,3.445.375,
,,,,,,
,5,Bulan,Mei 2026,Jml Warga Yg Bayar,,
,,Total Iuran,8.855.000,197,"81,36%",
,,,,,,
,,,,,Sisa,,
,,,Kas Mei + sisa Apr,5.413.153,873.153,
,,,Keamanan,2.951.667,1.845.667,
,,,Sampah,3.935.556,1.235.556,
,,,Fee Wifi,705.500,705.500,
,,,,13.005.875,,
,,,,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,Kordinasi ,"Jumat, 1/5/26",485.000,Kas
,,2,Token PJU,"Sabtu, 2/5/26",503.000,Keamanan
,,3,air isi ulang & kopi scurity,"Minggu, 3/5/26",100.000,Keamanan
,,4,Renofasi Mushola,"Senin, 11/5/26",3.770.000,Kas
,,5,Jasa ganti lampu PJU blok C1 &D4,"Senin, 18/5/26",270.000,Kas
,,6,Token PJU,"Kamis, 21/5/26",503.000,Keamanan
,,7,Admin Bank,"Kamis, 21/5/26",15.000,Kas
,,8,Gaji Scurity ,"Minggu, 31/5/26",2.700.000,sampah
,,,Total Pengeluaran,,8.346.000,
,,,Sisa Iuran Total,,4.659.875,
,,,,,,
,6,Bulan,Juni 2026,Jml Warga Yg Bayar,,
,,Total Iuran,6.510.000,145,"56,18%",
,,,,,,
,,,,,Sisa,,
,,,Kas Juni + sisa Mei,6.106.542,2.338.542,
,,,Keamanan,2.170.000,2.120.000,
,,,Sampah,2.893.333,2.893.333,
,,,Fee Wifi,0,0,
,,,,11.169.875,,
,,,,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,Kordinasi,"Rabu, 3/6/26",645.000,KAS
,,2,Pembayaran Sampah MEI,"Jumat, 5/6/26",2.620.000,KAS
,,3,Admin bank,"Jumat, 5/6/26",15.000,KAS
,,4,Token PJU,"Minggu, 7/6/26",503.000,KAS
,,5,air isi ulang & kopi scurity,"Minggu, 7/6/26",50.000,Keamanan
,,,Total Pengeluaran,,3.833.000,
,,,Sisa Iuran Total,,7.336.875,
